# Protein-1,# Protein-2
PSMD4,TRAF2
PSMD7,PSMD12
PSMD7,PSMD13
PSMD12,PSMD13
PSMD12,TRADD
PSMD13,ANAPC5
PSMD13,PSMB5
PTPN12,APC
PTPN12,PRKAR1A
PTPN12,STAT1
PTPN12,STAT5A
RAB5,CAV1
RAB5,CTNNB1
RAB5,EGF
RAB5,EGFR
RAB5,EPS8
RAB5,MAPK14
RAB5,PIK3R1
RAB23,EPS8
RAC1,SMAD2
RAC1,SMAD3
RACK1,GRB2
RACK1,PRKCA
RACK1,RPL4
RACK1,RPS13
RACK1,SDC2
RACK1,SHC1
RAF1,PAPOLA
RAF1,PRKAR1A
RAF1,PRKCI
RAF1,RHOA
RAF1,SF1
RAF1,SHOC2
RAF1,SMAD2
RAF1,SMAD4
RAF1,SMAD7
RAF1,STAT1
RAF1,STAT3
RAF1,STAT5A
RAF1,TP53
RAI,NFKB1
RAI,RELA
RAI,TP53
RAN,HDAC1
RAN,NUP214
RAN,RELA
RAN,SUMO1
RBL2,REL
RBL2,RELA
RBPSUH,CREBBP
RBPSUH,FHL1
RBPSUH,HDAC1
RBPSUH,HDAC2
RBPSUH,HES1
RBPSUH,HEY1
RBPSUH,NFKB1
RBPSUH,NOTCH2
RBPSUH,NOTCH4
RBPSUH,POFUT1
RBPSUH,SNW1
REL,RELA
RELA,PRKCI
RELA,SMAD2
RELA,SMAD3
RELA,STAT1
RELA,STAT3
RELA,STAT5A
RELA,TBK1
RELA,TP53
REPS1,GRB2
REPS1,RALB
REQ,CASP7
REQ,FADD
REQ,SMARCE1
RHOA,PRKAR1A
RHOA,SMAD2
RHOA,SMAD3
RHOA,TGFB1
RKIP,CDH1
RKIP,CDK2
RKIP,NFKB1
RKIP,PRKCA
RKIP,RAF1
RKIP,SPRED1
RKIP,TRAF6
RPA5,POLR1B
RPL4,RPL8
RPL4,STAT5A
RPL6,RPL8
RSK2,ETS1
RSK2,NRAS
SAM68,CD44
SAM68,EGF
SAM68,GRB10
SAM68,GRB2
SAM68,PIK3R1
SAM68,PLCG1
SAM68,STAT3
SAP97,ADAM10
SAP97,CDK2
SAP97,UBE3A
SCF,APH1A
SCF,CTNNB1
SCF,CUL1
SCF,GLI1
SCF,SKP1
SCF,UBE2L3
SF1,APC
SF1,PRKCI
SH2D3C,BCAR1
SH2D3C,G3BP2
SHIP,CRKL
SHIP,GRB2
SHIP,JAK1
SHIP,MET
SHIP,PIK3C2B
SHIP,PIK3CB
SHIP,PIK3R1
SHIP,RAF1
SHIP,SHC1
SHIP2,AKT2
SHIP2,BCAR1
SHIP2,EGF
SHIP2,EGFR
SHIP2,GRB2
SHIP2,MET
SHIP2,PIK3R1
SHIP2,PLCG1
SHIP2,SHC1
SHOC2,PAPOLA
SHP2,CEACAM1
SHP2,EGF
SHP2,EGFR
SHP2,GAB1
SHP2,GRB2
SHP2,JAK1
SHP2,MET
SHP2,NRAS
SHP2,PIK3R1
SHP2,PXN
SHP2,STAT1
SHP2,STAT3
SHP2,STAT5A
SIN3A,SMARCC2
SKP1,CDK2
SKP1,CDKN1A
SKP1,CTNNB1
SKP1,NFKB1
SKP1,PSMC2
SKP1,PSMD12
SMAD2,NCOA3
SMAD2,NUP214
SMAD2,RAN
SMAD2,SMAD3
SMAD2,SMAD4
SMAD2,SMAD7
SMAD2,STAT1
SMAD2,STAT3
SMAD2,STAT5A
SMAD2,TCF8
SMAD2,TGFB1
SMAD2,TGFBR2
SMAD2,TP53
SMAD2,VDR
SMAD2,VIM
SMAD3,CREBBP
SMAD3,NCOA3
SMAD3,NUP214
SMAD3,PRKCI
SMAD3,RAN
SMAD3,SMAD4
SMAD3,SMAD7
SMAD3,STAT1
SMAD3,STAT3
SMAD3,TCF8
SMAD3,TGFB1
SMAD3,TGFBR2
SMAD3,TP53
SMAD3,VDR
SMAD4,STAT1
SMAD4,TGFB1
SMAD4,TP53
SMAD7,TGFB1
SMARCC1,CREBBP
SMARCC1,HDAC1
SMARCC1,HDAC2
SMARCC1,HDAC6
SMARCC1,NCOR1
SMARCC1,SMARCA4
SMARCC1,TCF8
SMARCC1,VDR
SMARCC2,SMARCA4
SMARCC2,SMARCC1
SNW1,CREBBP
SNW1,MYC
SNW1,NOTCH2
SNW1,RBL2
SNW1,SMAD2
SNW1,SMAD3
SNW1,VDR
SNX1,EGF
SNX1,EGFR
SNX1,EPS15
SNX1,HGS
SNX1,RAC1
SNX1,SNX2
SNX1,SNX6
SNX4,ABL1
SNX4,JAK1
SNX4,SOS2
SNX6,JAK1
SOCS5,STAT5A
SOS2,STAT5A
STAMBPL1,CLTC
STAMBPL1,COPS5
STAMBPL1,GRB2
STAMBPL1,SMAD2
STAMBPL1,SMAD7
STAT1,ABL1
STAT1,NCOA3
STAT1,PAPOLA
STAT1,RAC1
STAT1,RAN
STAT1,STAT3
STAT1,STAT5A
STAT1,TP53
STAT1,VDR
STAT3,CCND1
STAT3,EGF
STAT3,MYC
STAT3,PIAS3
STAT3,RAC1
STAT5A,CREBBP
STAT5A,PAPOLA
STAT5A,RAC1
STAT5A,SHC1
STAT5A,STAT3
STAT5A,TGFB1
STAT5A,TP53
STAT5A,TRADD
STAT5A,VDR
SUMO1,SMARCA4
SUMO1,SUMO2
SVIL,APC
SVIL,TRADD
TAK1,TRAF2
TAK1,TRAF6
TAK1,VDR
TBPIP,PSMC3
TCF4,CREBBP
TCF4,TCF12
TCF8,CREBBP
TCF12,CREBBP
TGFB1,RAN
TGFB1,TGFBR2
TGFBR2,CREBBP
TIEG2,HDAC6
TIP1,CTNNB1
TIP60,APP
TIP60,HDAC1
TIP60,MYC
TIP60,NCOR1
TIP60,NFKB1
TIP60,STAT3
TIP60,TP53
TNAP,TRAF2
TNIP1,NFKB1
TNIP1,TRAF1
TP53,COPS5
TP53,RAN
TPL2,AKT2
TPL2,NFKB1
TPL2,REL
TPL2,RELA
TPL2,TRAF2
TPL2,TRAF6
TRADD,CREBBP
TRADD,STAT3
TRADD,TRAF1
TRADD,TRAF2
TRAF1,CREBBP
TRAF1,TRAF2
TRAF1,TRAF6
TRAF6,TRAF2
