# Protein-1,# Protein-2
EGFR,STAT3
EGFR,STAT5B
EGFR,WASL
EIF3S2,PPP2CA
EIF3S2,PSMD1
EIF3S2,SMARCA4
EIF4E,FBL
EIF4E,G3BP2
EIF4E,GSK3B
ELK1,HES1
ELK1,JUNB
ELK1,JUND
ELK1,KPNA2
ELK1,RAF1
ELK1,SMAD2
ELK1,SMAD3
ELK1,STAT1
ELK1,TCF3
ENG,CD44
ENG,KIT
ENG,SMAD2
ENG,SMAD4
ENG,TGFB1
ENG,TGFB3
ENG,TGFBR2
EPOR,ABL1
EPOR,FGR
EPOR,FYN
EPOR,GRB2
EPOR,JAK1
EPOR,JAK2
EPOR,KIT
EPOR,LYN
EPOR,PIK3R2
EPOR,RAF1
EPOR,SRC
EPOR,STAT1
EPOR,STAT3
EPOR,STAT5B
EPOR,WASL
EPS8,SMAD2
EPS15,ERBB2
EPS15,GRB2
EPS15,HGS
EPS15,JAK2
EPS15,KIT
EPS15,RPL8
EPS15R,AP2A1
EPS15R,AP2B1
EPS15R,CLTC
EPS15R,EGFR
EPS15R,EPS15
EPS15R,HGS
EPS15R,NUMB
EPS15R,NUMBL
EPS15R,SH3GL2
EPS15R,SPRY2
EPS15R,SRC
ERBB2,ABL1
ERBB2,APC
ERBB2,FGR
ERBB2,FYN
ERBB2,GRB10
ERBB2,GRB2
ERBB2,HGS
ERBB2,JAK2
ERBB2,KIT
ERBB2,KRT18
ERBB2,KRT8
ERBB2,LYN
ERBB2,MET
ERBB2,NCK2
ERBB2,PIK3R2
ERBB2,PLCG1
ERBB2,PLD2
ERBB2,PLSCR1
ERBB2,PRKCA
ERBB2,PTK2
ERBB2,RIPK1
ERBB2,SHC1
ERBB2,SRC
ERBB2,STAT1
ERBB2,STAT3
ERBB2,STAT5B
ERBB2,VAV3
ERBB2,WASL
ERK1,AKT1
ERK1,ARRB2
ERK1,ATF1
ERK1,ATF3
ERK1,AXIN1
ERK1,BRCA1
ERK1,CAMK2A
ERK1,CASP9
ERK1,CCNE1
ERK1,CD44
ERK1,CDC23
ERK1,CDC25A
ERK1,CDK4
ERK1,CEBPA
ERK1,COPS3
ERK1,CREBBP
ERK1,CRKL
ERK1,CSK
ERK1,CTNNB1
ERK1,DYRK1A
ERK1,EGFR
ERK1,EPOR
ERK1,ETS1
ERK1,FOS
ERK1,FYN
ERK1,GRB10
ERK1,HDAC1
ERK1,HGS
ERK1,HSPA8
ERK1,ID2
ERK1,JAK1
ERK1,JAK2
ERK1,JUNB
ERK1,KIT
ERK1,KRT18
ERK1,LEF1
ERK1,LYN
ERK1,MEF2A
ERK1,NCK2
ERK1,NCOA3
ERK1,NRAS
ERK1,NUP153
ERK1,NUP214
ERK1,PIK3R2
ERK1,PKN2
ERK1,PLCG2
ERK1,PPP2CA
ERK1,PRKACA
ERK1,PRKCA
ERK1,PRKCG
ERK1,PRKCZ
ERK1,PTEN
ERK1,RAF1
ERK1,RAN
ERK1,RBL2
ERK1,RELA
ERK1,RIPK1
ERK1,SF1
ERK1,SHC1
ERK1,SMAD2
ERK1,SMAD3
ERK1,SMAD4
ERK1,SMARCA4
ERK1,SRC
ERK1,STAT1
ERK1,STAT3
ERK1,STAT5B
ERK1,SVIL
ERK1,TCF8
ERK1,TP53
ERK1,WASL
ERK2,AKT1
ERK2,CAMK2A
ERK2,CBLB
ERK2,CREBBP
ERK2,CRKL
ERK2,EPOR
ERK2,FGR
ERK2,FYN
ERK2,GRB2
ERK2,HDAC1
ERK2,JAK1
ERK2,JAK2
ERK2,JUNB
ERK2,KIT
ERK2,NRAS
ERK2,NUP214
ERK2,PSMD4
ERK2,PTEN
ERK2,RAF1
ERK2,SMAD2
ERK2,SMAD3
ERK2,STAT1
ERK2,STAT2
ERK2,STAT3
ERK2,STAT5B
ERK2,SVIL
ERK2,TP53
ERK5,ABL1
ERK5,ATF2
ERK5,CCND1
ERK5,CDC42
ERK5,CTNNB1
ERK5,FOS
ERK5,MAPK14
ERK5,MEF2A
ERK5,PPP2CA
ERM,CCND1
ERM,CCNE1
ERM,PKN1
ERM,PRKACA
ERM,PRKCA
ERM,PRKCZ
ERT,CREBBP
ERT,EGFR
ERT,EPS15
ERT,ERBB2
ERT,JAK1
ERT,MYC
ERT,NFKB1
ERT,PAK1
ETS1,FOS
ETS1,HDAC1
ETS1,JAK2
ETS1,JUNB
ETS1,JUND
ETS1,KPNA2
ETS1,RAF1
ETS1,RBL2
ETS1,SMAD2
ETS1,SMAD3
ETS1,STAT1
ETS1,STAT3
ETS1,TCF3
FADD,CREBBP
FADD,FYN
FADD,HSPA8
FADD,JAK2
FADD,KRT18
FADD,PSMD12
FADD,RIPK1
FADD,STAT3
FADD,STAT5B
FADD,TRADD
FADD,TRAF1
FAF1,HDAC1
FAF1,HDAC2
FAF1,TRADD
FANCD2,NCOA3
FANCD2,TP53
FBL,ITGB4BP
