# Protein-1,# Protein-2
HES1,ID3
HES1,ID4
HES1,JUNB
HES1,LYN
HES1,MYC
HES1,NCOA3
HES1,STAT1
HES1,STAT5B
HES1,TCF12
HGS,JAK1
HGS,KPNB1
HGS,PRKACA
HGS,RAN
HGS,SMAD1
HGS,SMAD3
HGS,SNRPD2
HGS,STK11
HIP1,ABL1
HIP1,CLTC
HIP1,CRK
HIP1,EPS15
HIP1,SRC
HIP1,WASL
HIPK2,SMAD3
HIPK2,SUMO2
HSP90A,ANAPC5
HSP90A,CBL
HSP90A,CDC37
HSP90A,COPS3
HSP90A,CSK
HSP90A,HDAC1
HSP90A,HDAC2
HSP90A,HSPA8
HSP90A,MAPK14
HSP90A,NUP153
HSP90A,RELA
HSP90A,STAT1
HSP90A,STAT5B
HSP90A,STUB1
HSP90A,SUMO1
HSP90A,SUMO2
HSP90B,AP2B1
HSP90B,HSPA8
HSP90B,KPNA6
HSP90B,MAPK14
HSP90B,NUP153
HSP90B,RUVBL1
HSP90B,SUMO1
HSPA8,APC
HSPA8,CLTC
HSPA8,LYN
HSPA8,NUP153
HSPA8,PRKCI
HSPA8,RAN
HSPA8,STAT1
HSPA8,STAT5B
HSPA8,STUB1
HSPA8,WASL
ID1,ID2
ID1,ID3
ID1,ID4
ID2,ID3
ID2,MITF
ID2,MYC
ID2,NCOA3
ID3,ID4
ID3,MITF
ID3,MYC
ID3,NCOA3
ID3,TCF12
ID4,TCF12
IKBA,CASP3
IKBA,FAF1
IKBA,FOS
IKBA,FYN
IKBA,HDAC1
IKBA,HDAC2
IKBA,KPNA2
IKBA,PCAF
IKBA,PPP2CA
IKBA,PRKACA
IKBA,RELA
IKBA,SP1
IKBA,STAT1
IKBA,STAT3
IKBA,STAT5B
IKBKAP,CSNK1A1
IKKB,CSK
IKKB,CTBP1
IKKB,KPNA2
IKKB,RELA
IKKB,SMAD3
IKKB,STAT1
ITGB4BP,POLR1B
ITGB4BP,RPL4
ITGB4BP,RPL8
ITGB4BP,WDR12
JAK1,ABL1
JAK1,LYN
JAK1,MET
JAK1,NCK2
JAK1,PIK3R2
JAK1,PTK2
JAK1,PTPN12
JAK1,SHC1
JAK1,SRC
JAK1,STAT1
JAK1,STAT2
JAK1,STAT3
JAK1,STAT5B
JAK1,WASL
JNK1,FOS
JNK1,SMAD1
JNK1,SMAD3
JNK1,STAT1
JNK1,STAT5B
JUNB,GSK3B
JUNB,MITF
JUNB,PRKACA
JUNB,RELA
JUNB,SMAD1
JUNB,SMAD3
JUNB,STAT1
KPNA2,APC
KPNA2,KPNA6
KPNA2,KPNB1
KPNA2,NCOA3
KPNA2,NUP153
KPNA2,PCAF
KPNA2,PIK3CD
KPNA2,RAN
KPNA2,RELA
KPNA2,SMAD3
KPNA2,SPEN
KPNA2,STAT1
KPNA2,STAT2
KPNA2,TP53
KPNA2,VDR
KPNA3,KPNA6
KPNA3,RAN
KPNA6,AP2B1
KPNA6,KPNB1
KPNA6,RAN
KPNA6,SNIP1
