# Protein-1,# Protein-2
FOXO1A,PIAS1
FOXO1A,SMAD2
FOXO1A,STAT1
FOXO1A,TCF3
FYN,APC
FYN,CDC42
FYN,CREBBP
FYN,FES
FYN,GRB2
FYN,HES1
FYN,HSPA8
FYN,JAK1
FYN,JAK2
FYN,KRT18
FYN,MEF2A
FYN,NRAS
FYN,PIK3R2
FYN,PKN2
FYN,PPP2CA
FYN,PSEN1
FYN,PTK2
FYN,PTPN12
FYN,RAC1
FYN,RELA
FYN,RPL8
FYN,SHC1
FYN,SOCS3
FYN,SOCS5
FYN,STAT1
FYN,STAT3
FYN,TGFBR2
FYN,VIM
FYN,WASL
G3BP2,RELA
G3BP2,RPL8
GAPDH,APP
GAPDH,MYC
GP130,BTK
GP130,EGFR
GP130,FYN
GP130,JAK1
GP130,JAK2
GP130,NRAS
GP130,STAT1
GRB2,CDC42
GRB2,JAK1
GRB2,JAK2
GRB2,PIK3R2
GRB2,PRKCI
GRB2,PTK2
GRB2,PTPN12
GRB2,RAC1
GRB2,RANBP9
GRB2,RELA
GRB2,SHC1
GRB2,SOCS3
GRB2,STAT1
GRB2,STAT3
GRB2,WASL
GRIM19,STAT3
HAT1,RBBP7
HBO1,E2F4
HBO1,ELK1
HBO1,HDAC6
HBO1,SMARCA4
HDAC2,CREBBP
HDAC2,MAPK14
HDAC2,MCM5
HDAC2,MCM7
HDAC2,RELA
HDAC2,SIN3A
HDAC2,SMAD2
HDAC2,SP1
HDAC2,STAT1
HDAC2,TP53
HDAC6,ITGB4BP
HES1,ID1
HES1,ID2
HES1,ID3
HES1,ID4
HES1,JUNB
HES1,MYC
HES1,STAT1
HES1,TCF3
HSP90A,ANAPC5
HSP90A,ATF1
HSP90A,CDC23
HSP90A,CSK
HSP90A,EGFR
HSP90A,HDAC2
HSP90A,HSPA8
HSP90A,MAPK14
HSP90A,NRAS
HSP90A,NUP153
HSP90A,RELA
HSP90A,SMAD4
HSP90A,STAT1
HSP90A,SUMO1
HSP90A,SUMO2
HSP90B,AP2B1
HSP90B,HSPA8
HSP90B,MAPK14
HSP90B,NUP153
HSP90B,SUMO1
HSP90B,TBP
HSPA8,APC
HSPA8,CLTC
HSPA8,NUP153
HSPA8,PRKCI
HSPA8,RAN
HSPA8,STAT1
HSPA8,WASL
ID1,CREBBP
ID1,ID2
ID1,ID3
ID1,ID4
ID1,TCF3
ID2,CREBBP
ID2,ID3
ID2,MYC
ID2,TCF3
ID3,CREBBP
ID3,ID4
ID3,MYC
ID3,TCF3
ID4,TCF3
IKBA,CASP3
IKBA,CREBBP
IKBA,FOS
IKBA,FYN
IKBA,HDAC2
IKBA,JAK2
IKBA,KPNA2
IKBA,PPP2CA
IKBA,RELA
IKBA,SP1
IKBA,STAT1
IKBA,STAT3
IKKB,CSK
IKKB,CTBP1
IKKB,KPNA2
IKKB,RELA
IKKB,SMAD2
IKKB,STAT1
IKKB,TCF3
IQGAP2,JAK2
IQGAP2,RELA
IQGAP2,TCF3
ITGB4BP,POLR1B
ITGB4BP,RPL4
ITGB4BP,RPL8
ITRAF,NFKB1
JAG1,NOTCH2
JAG1,PSEN1
JAK1,CREBBP
JAK1,JAK2
JAK1,NRAS
JAK1,PIK3R2
JAK1,PTK2
JAK1,PTPN12
JAK1,SHC1
JAK1,SOCS3
JAK1,STAT1
JAK1,STAT3
JAK1,WASL
JAK2,CREBBP
JAK2,NRAS
JAK2,NUP153
JAK2,PAPOLA
JAK2,PIK3R2
JAK2,PPP2CA
JAK2,PRKCI
JAK2,PTK2
JAK2,PTPN12
JAK2,RELA
JAK2,SHC1
JAK2,SNX2
JAK2,SOCS3
JAK2,STAT1
JAK2,STAT3
JAK2,WASL
JUNB,CREBBP
JUNB,GSK3B
JUNB,JUND
JUNB,RELA
JUNB,SMAD2
JUNB,STAT1
JUND,CREBBP
JUND,SMAD2
JUND,TBP
KPNA2,APC
KPNA2,CREBBP
KPNA2,KPNB1
KPNA2,NUP153
KPNA2,RAN
KPNA2,RELA
KPNA2,SMAD2
KPNA2,SMAD4
KPNA2,SPEN
KPNA2,STAT1
KPNA2,TCF3
KPNA2,TP53
KPNA3,RAN
KPNB1,CREBBP
KPNB1,LAMR1
KPNB1,NUP153
KPNB1,RAN
KPNB1,RPL4
KPNB1,SMAD2
KPNB1,SMARCC2
KPNB1,STAT1
KRT7,KRT17
KRT7,KRT18
KRT7,KTN1
KRT8,KRT18
KRT17,KRT18
KRT18,NRAS
LAMR1,CREBBP
LAMR1,PSMC2
LAMR1,RAN
LAMR1,RPL4
LAMR1,RPL8
LAMR1,TP53
LEF1,APC
LEF1,CREBBP
LEF1,SMAD2
MAGI3,DAAM1
MAGI3,FZD6
MAGI3,FZD7
MAGI3,NLK
MAIL,NFKB1
MAIL,RELA
MAPK14,CDC42
MAPK14,ELK1
MAPK14,KRT8
MAPK14,MEF2A
MAPK14,NFKB1
MAPK14,RAC1
MAPK14,RELA
MAPK14,SHC1
MAPK14,STAT1
MAPK14,STAT3
MAPK14,TAB2
MAPK14,TP53
MCC,APC
MCC,TP53
MCM5,MCM7
MCM5,SMAD2
MCM5,STAT1
MEF2A,CREBBP
MEK1,AKT1
MEK1,CDC42
MEK1,HES1
MEK1,MAPK14
MEK1,SMAD2
MIG6,RPL30
MIG6,RPL4
MIG6,RPL6
MIG6,RPL8
MIG6,RPS11
MIG6,UXT
MKP1,FOS
MKP1,FOSB
MKP1,JUNB
MKP1,MAPK14
MKP1,NFKB1
MKP1,RAC1
MKP1,SKP2
MKP1,TP53
MUPP1,FBXW7
MUPP1,NUMB
MUPP1,RNF4
MUPP1,SHC1
MUPP1,SNW1
MYC,TCF3
NCK,POLR2H
NCK,SNRPD2
NCOR1,TBP
NIK,AKT1
NIK,EIF4E
NIK,HSPA8
NIK,NFKB1
NIK,RELA
NIK,SP1
NIK,TP53
NKIRAS1,AKT1
NKIRAS1,GLI2
NKIRAS1,NFKB1
NKIRAS1,RELA
NOTCH2,NOTCH3
NOTCH2,PSEN1
NR0B2,KRT18
NR3C1,BAG1
NR3C1,CALR
NR3C1,FOS
NR3C1,HDAC2
NR3C1,HDAC6
NR3C1,NCOA2
NR3C1,NCOR1
NR3C1,NFKB1
NR3C1,RELA
NR3C1,SMAD4
NR3C1,SMARCA4
NR3C1,SP1
NR3C1,STAT3
NR3C1,TP53
NRAS,NRAS
NRAS,PKN2
NRAS,PRKCI
NRAS,PSMC1
NRAS,RALGDS
NRAS,RBL2
NRAS,SHOC2
NUP153,RANBP9
NUP214,G3BP2
OTF1,POLR2H
OTF1,POLR2L
OTF1,SP1
OTF1,TBP
PAF53,POLR1B
PAPOLA,CREBBP
PAPOLA,CTBP1
PAPOLA,CUL1
PAPOLA,KPNB1
PARD3,PRKCI
PATZ,ATF1
PATZ,NCOR1
PATZ,RNF4
PFDN2,SUMO1
PIAS1,CREBBP
PIAS1,SMAD2
PIAS1,SPEN
PIAS1,STAT1
PIAS1,SUMO2
PIK3R2,PTK2
PIK3R2,SMAD2
PIK3R2,SOCS3
PIK3R2,STAT1
PIK3R2,STAT3
PIK3R2,WASL
PKN2,PSEN1
PKN2,WASL
POLR2H,CREBBP
POLR2H,POLR2L
PPP2CA,CREBBP
PPP2CA,STAT1
PPP2CA,STAT3
PSEN1,APC
PSEN1,CDC42
PSEN1,GSK3B
PSEN1,RAC1
PSEN1,VIM
PSMB5,PSMD12
PSMC1,PSMC2
PSMC1,PSMC3
PSMC1,PSMD1
PSMC1,PSMD12
PSMC1,PSMD13
PSMC1,PSMD7
PSMC2,PSMC3
PSMC2,PSMD1
PSMC2,PSMD12
PSMC2,PSMD13
PSMC2,PSMD7
PSMC2,TBP
PSMC3,PSMD1
PSMC3,PSMD12
PSMC3,PSMD13
PSMC3,PSMD7
PSMC3,TBP
PSMD1,CLTC
PSMD1,PSMD12
PSMD1,PSMD13
PSMD1,PSMD7
PSMD7,PSMD12
PSMD7,PSMD13
PSMD12,PSMD13
PSMD13,ANAPC5
PSMD13,PSMB5
PTK2,SHC1
PTK2,SOCS3
PTK2,STAT1
PTK2,STAT3
PTPN12,APC
PTPN12,PRKAR1A
PTPN12,STAT1
PTPN12,WASL
PYK2,CAMK2D
PYK2,CREBBP
PYK2,CRK
PYK2,PXN
RAB5,AKT1
RAB5,APPL2
RAB5,CAV1
RAB5,CTNNB1
RAB5,EGFR
RAB5,EPS8
RAB5,MAPK14
RAB5,PIK3R1
RAB23,EPS8
RAC1,SMAD2
RACK1,FYN
RACK1,GRB2
RACK1,RPL4
RACK1,RPS13
RACK1,SDC2
RACK1,SHC1
RAI,NFKB1
RAI,RELA
RAI,SP1
RAI,TP53
RALBP1,BTK
RALBP1,CDC42
RALBP1,CSK
RALBP1,FYN
RALBP1,JAK1
RALBP1,JAK2
RALBP1,MTIF2
RALBP1,NRAS
RALBP1,RAC1
RALBP1,RAN
RALBP1,RHOA
RAN,NUP214
RAN,RANBP9
RAN,RELA
RAN,SUMO1
RANBP9,TBP
RAP30,CCNH
RAP30,CDK9
RAP30,POLR2H
RAP30,POLR2L
RAP30,TBP
RAP74,CDK9
RAP74,POLR2H
RAP74,TBP
RBL2,RELA
RBL2,SP1
RBPSUH,CREBBP
RBPSUH,CTBP1
RBPSUH,CTBP2
RBPSUH,FHL1
RBPSUH,HDAC2
RBPSUH,HES1
RBPSUH,JAG1
RBPSUH,NFKB1
RBPSUH,NOTCH2
RBPSUH,NOTCH3
RBPSUH,POFUT1
RBPSUH,SNW1
RBPSUH,SPEN
RELA,PRKCI
RELA,SMAD2
RELA,SP1
RELA,STAT1
RELA,STAT3
RELA,TCF3
RELA,TP53
REPS1,CRK
REPS1,GRB2
REPS1,RALBP1
REPS1,REPS2
REPS2,CRKL
REQ,CASP7
RHOA,PRKAR1A
RHOA,SMAD2
RKIP,CDH1
RKIP,CDK2
RKIP,GSK3B
RKIP,NFKB1
RKIP,YY1
RNF4,UBE2E1
RPA5,POLR1B
RPA5,POLR1D
RPA5,POLR2H
RPA5,POLR2L
RPL4,RPL8
RPL6,RPL8
RPL8,SOCS3
RSK2,ELK1
RSK2,ETS1
RSK2,NRAS
SHOC2,PAPOLA
SHP2,AKT1
SHP2,CEACAM1
SHP2,EGFR
SHP2,FYN
SHP2,GRB2
SHP2,JAK1
SHP2,JAK2
SHP2,NRAS
SHP2,PIK3R1
SHP2,PIK3R2
SHP2,PTK2
SHP2,PXN
SHP2,SOCS3
SHP2,STAT1
SHP2,STAT3
SIN3A,SMARCC2
SIN3A,SP1
SIN3A,SPEN
SIN3A,YY1
SKP1,BTRC
SKP1,CCNA2
SKP1,CDK2
SKP1,CDKN1A
SKP1,CTNNB1
SKP1,FBXW7
SKP1,NFKB1
SKP1,PSMC2
SKP1,PSMD12
SKP1,RBX1
SKP1,SKP2
SMAD2,NUP153
SMAD2,NUP214
SMAD2,RAN
SMAD2,SMAD4
SMAD2,SP1
SMAD2,SPEN
SMAD2,STAT1
SMAD2,STAT3
SMAD2,TCF3
SMAD2,TCF8
SMAD2,TGFBR2
SMAD2,TP53
SMAD2,VIM
SMAD2,YY1
