# Protein-1,# Protein-2
CIAP1,FADD
CIAP1,NFKB1
CIAP1,RIPK1
CIAP1,TRADD
CIAP1,TRAF1
CIAP1,TRAF2
CIAP1,TRAF3
CIAP2,CASP2
CIAP2,CASP3
CIAP2,CASP7
CIAP2,CASP8
CIAP2,CASP9
CIAP2,FADD
CIAP2,MYB
CIAP2,NFKB1
CIAP2,RELA
CIAP2,RIPK1
CIAP2,TRADD
CIAP2,TRAF1
CIAP2,TRAF2
CIAP2,TRAF3
CIN85,AP2A1
CIN85,AP2B1
CIN85,BCAR1
CIN85,CBL
CIN85,CBLB
CIN85,CDC42
CIN85,DAB2
CIN85,EGF
CIN85,EGFR
CIN85,GRB2
CIN85,HGS
CIN85,KIT
CIN85,MET
CIN85,PIK3R1
CIN85,SPRY2
CIN85,TRADD
CIR,HDAC1
CIR,HDAC2
CIR,HDAC6
CIR,MTA2
CIR,NCOR1
CIR,NOTCH1
CIR,SAP18
CIR,SAP30
CIR,SNW1
CK2A1,APPL2
CK2A1,CTNNB1
CK2A1,DVL1
CK2A1,DVL3
CK2A1,FOS
CK2A1,HDAC1
CK2A1,HDAC2
CK2A1,MTA2
CK2A1,MYC
CK2A1,PLD2
CK2A1,RBBP7
CK2A1,RELA
CK2A1,SIN3A
CK2B,CSNK1A1
CK2B,CSNK1D
CK2B,CSNK1E
CK2B,FAF1
CK2B,GSK3B
CK2B,MTIF2
CK2B,PRKAR2A
CLTC,HDAC1
CLTC,HDAC2
CLTC,HGS
CLTC,KRT18
CLTC,NUP153
CLTC,PAPOLA
CLTC,SMAD2
CLTC,SMAD3
CLTC,WASL
COPS3,COPS5
COPS3,EIF4E
COPS3,NRAS
COPS3,PSMD12
COPS3,PSMD4
COPS3,SMAD1
COPS5,PSMD12
COPS5,SMAD2
COPS5,SMAD3
CREB,ATF2
CREB,BRCA1
CREB,CAMK2G
CREB,FOS
CREB,HIPK2
CREB,JUND
CREB,MITF
CREB,PRKACA
CREB,PRKAR2A
CREB,SP1
CRK,CSK
CRK,EGFR
CRK,ERBB2
CRK,FGR
CRK,FYN
CRK,GRB2
CRK,JAK1
CRK,KIT
CRK,LCK
CRK,LYN
CRK,MET
CRK,MST1R
CRK,PTK2
CRK,PTK6
CRK,STAT1
CRK,STAT3
CRK,STAT5A
CRK,TEC
CRK,TNK2
CRKL,CDC42
CRKL,CSK
CRKL,CSNK1E
CRKL,DOK1
CRKL,EGFR
CRKL,FGR
CRKL,FYN
CRKL,GIT1
CRKL,GLG1
CRKL,GRAP
CRKL,GRB10
CRKL,GRB14
CRKL,GRB2
CRKL,GRB7
CRKL,JAK1
CRKL,KIT
CRKL,LCK
CRKL,LYN
CRKL,MET
CRKL,NCK2
CRKL,PIK3R2
CRKL,PPP2CA
CRKL,PRKCA
CRKL,PTK2
CRKL,PTK6
CRKL,PTPN12
CRKL,RAC1
CRKL,RAF1
CRKL,SMAD3
CRKL,SNCA
CRKL,SOCS3
CRKL,SOCS5
CRKL,STAT1
CRKL,STAT2
CRKL,STAT3
CRKL,STAT5A
CRKL,TEC
CRKL,TGFBR1
CRKL,TRAF2
CRKL,VAV3
CRKL,WASL
CRM1,APC
CRM1,CCNB1
CRM1,CRK
CRM1,CTNNB1
CRM1,FOXO4
CRM1,HDAC1
CRM1,NFKB1
CRM1,NUP153
CRM1,NUP214
CRM1,RAN
CRM1,RELA
CRM1,STAT1
CRM1,TP53
CSK,ABL1
CSK,CTBP1
CSK,DAB2
CSK,DOK1
CSK,EGFR
CSK,FGR
CSK,FYN
CSK,GRAP
CSK,GRB10
CSK,GRB2
CSK,HD
CSK,ITGB4
CSK,JAK1
CSK,KIT
CSK,KPNA2
CSK,LCK
CSK,LYN
CSK,MET
CSK,NCK2
CSK,PIK3R2
CSK,PLCG1
CSK,PLD2
CSK,PRKAR1A
CSK,PRKCA
CSK,PTK2
CSK,PTK6
CSK,RAF1
CSK,SHC1
CSK,SMAD1
CSK,SMAD2
CSK,SMAD3
CSK,SNCA
CSK,SOCS3
CSK,STAT1
CSK,STAT2
CSK,STAT3
CSK,STAT5A
CSK,TCF3
CSK,TEC
CSK,TGFBR1
CSNK1D,CSNK1A1
CSNK1D,DCP1A
CSNK1D,DVL3
CSNK1D,IKBKAP
CSNK1E,APC
CSNK1E,DCP1A
CSNK1E,FYN
CSNK1E,GRAP
CSNK1E,IKBKAP
CSNK1E,JUP
CSNK1E,STAT5A
CTBP1,DAXX
CTBP1,ETS1
CTBP1,HD
CTBP1,HDAC1
CTBP1,MYB
CTBP1,NCOA3
CTBP1,RELA
CTBP1,SMAD2
CTBP1,SPEN
CTBP1,STAT1
CTBP1,STAT2
CTBP1,TCF3
CTBP1,ZFHX1B
CTBP2,CDH1
CTBP2,HDAC1
CTBP2,HDAC2
CTBP2,LEF1
CTBP2,MDM2
CTCF,SP1
CTNNB1,APC
CTNNB1,FYN
CTNNB1,HDAC1
CTNNB1,HDAC2
CTNNB1,JUP
CTNNB1,KIT
CTNNB1,LEF1
CTNNB1,NOTCH2
CTNNB1,PSEN1
CTNNB1,SMAD1
CTNNB1,SMAD2
CTNNB1,SMAD3
CTNNB1,TGFBR1
CUL1,AXIN1
CUL1,BTRC
CUL1,CDK2
CUL1,CDKN1A
CUL1,COPS5
CUL1,CTNNB1
CUL1,FBXW7
CUL1,FZR1
CUL1,NFKB1
CUL1,PSMD7
CUL1,RBX1
CUL1,SKP1
CUL1,SMAD3
DAAM1,APC
DAAM1,ARF4
DAB2,FGR
DAB2,FYN
DAB2,LYN
DAB2,PIK3R2
DAB2,SMAD1
DAB2,SMAD2
DAB2,SMAD3
DAB2,STAT1
DAB2,STAT5A
DAB2,TGFB1
DAB2,WASL
DAP,FADD
DAP,PML
DAP,TNIP1
DAXX,FADD
DAXX,HDAC1
DAXX,KPNA2
DAXX,RIPK1
DAXX,SIN3A
DAXX,SMAD2
DAXX,SMAD3
DAXX,SP1
DAXX,STAT1
DAXX,TCF3
DCP1A,HSPA8
DCP1A,NCK2
DDEF1,ARF4
DDEF1,CBL
DDEF1,CBLB
DDEF1,CRK
DDEF1,GRB2
DDEF1,PTK2
DDEF1,PXN
DDEF1,REPS2
DDX3,CCNA2
DDX3,G3BP2
DDX3,GSK3B
DDX3,SP1
DDX3,TBK1
DNM,ARRB2
DNM,CAV1
DNM,DLL4
DNM,EGF
DNM,EGFR
DNM,GRB2
DNM,JAG1
DNM,JAG2
DNM,NOTCH1
DNM,PIAS1
DNM,PIK3R1
DNM,PLCG1
DNM,SP1
DOK1,EGFR
DOK1,FGR
DOK1,FYN
DOK1,GRAP
DOK1,GRB10
DOK1,KIT
DOK1,LCK
DOK1,LYN
DOK1,NCK2
DOK1,PIK3R2
DOK1,PKN2
DOK1,STAT5A
DOK1,TGFBR1
DOK1,TRAF2
DOK1,WASL
DSP,APC
DSP,FOS
DVL1,APC
DVL1,ARRB2
DVL1,AXIN1
DVL1,CSNK1E
DVL1,CTNNB1
DVL1,CTNND1
DVL1,DAAM1
DVL1,DVL3
DVL1,FZD4
DVL1,FZD6
DVL1,GSK3B
DVL1,NOTCH1
DVL1,NOTCH2
DVL1,RAC1
DVL3,CSNK1A1
DVL3,JUP
DVL3,SMAD3
DYRK1A,HGS
DYRK1A,JUP
DYRK1A,SMAD1
DYRK1A,SMAD2
DYRK1A,SMAD3
DYRK1A,TGFB1
E2F5,BRCA1
E2F5,CCNA2
E2F5,E2F4
E2F5,REL
E2F5,RELB
E2F5,SMARCA4
E2F5,STAT2
E2F5,TP53
E3B1,ABL1
E3B1,AKT1
E3B1,CDC42
E3B1,CRK
E3B1,EGF
E3B1,EGFR
E3B1,EPS8
E3B1,FGR
E3B1,LYN
E3B1,MYC
E3B1,RAC1
E3B1,WASL
EBP1,AR
EBP1,EGFR
EBP1,ERBB2
