# Protein-1,# Protein-2
FOS,STAT1
FOS,STAT3
FOS,STAT5A
FOS,STAT5B
FOS,VDR
FOSB,JUNB
FOXO1A,APC
FOXO1A,CREBBP
FOXO1A,KPNA2
FOXO1A,SMAD1
FOXO1A,SMAD2
FOXO1A,STAT1
GAB1,GRB2
GAB1,KPNA2
GAB1,RAF1
GAB1,SMAD2
GAB1,STAT1
GAB1,STAT5A
GAB1,STAT5B
GAB1,WASL
GAB2,GRB2
GAB2,PRKCA
GAB2,RELA
GAB2,TGFBR1
GAPDH ,APP
GAPDH  ,MYC
GAPDH ,PLD2
GIPC,AKT1
GIPC,CLTC
GIPC,ENG
GIPC,ITGA6
GIPC,PRKCA
GIPC,RAC1
GJA1,RAF1
GJA1,STAT5A
GLG1,WASL
GP130,BTK
GP130,ERBB2
GP130,NRAS
GP130,STAT1
GP130,STAT5A
GP130,STAT5B
GRB2,CDC42
GRB2,GRB10
GRB2,JUP
GRB2,PLCG1
GRB2,PRKCA
GRB2,PTK2
GRB2,PTK6
GRB2,PTPN12
GRB2,RAC1
GRB2,RAF1
GRB2,RELA
GRB2,SHC1
GRB2,SOCS1
GRB2,STAT1
GRB2,STAT2
GRB2,STAT3
GRB2,STAT5A
GRB2,STAT5B
GRB2,WASL
GRB10,ABL1
GRB10,NRAS
GRB10,PTK2
GRB10,PTK6
GRB10,RAF1
GRB10,STAT1
GRB10,STAT3
GRB10,STAT5A
GRB10,STAT5B
HDAC1,APC
HDAC1,HDAC2
HDAC1,HDAC6
HDAC1,KPNA2
HDAC1,MTA2
HDAC1,MYB
HDAC1,NCOR1
HDAC1,PAPOLA
HDAC1,RELA
HDAC1,SMAD2
HDAC1,SMAD4
HDAC1,SMARCE1
HDAC1,SP1
HDAC1,SPEN
HDAC1,STAT1
HDAC1,STAT2
HDAC1,STAT5A
HDAC1,STAT5B
HDAC1,TP53
HDAC2,CREBBP
HDAC2,MCM5
HDAC2,MCM7
HDAC2,MTA2
HDAC2,MYB
HDAC2,RELA
HDAC2,SMAD2
HDAC2,SP1
HDAC2,STAT1
HDAC2,STAT2
HDAC2,STAT5A
HDAC2,STAT5B
HDAC2,TP53
HDAC6,ITGB4BP
HGS,CREBBP
HGS,KPNB1
HGS,MYB
HGS,RAN
HGS,SMAD1
HGS,SMAD2
HGS,SNRPD2
HGS,STK11
HGS,SVIL
HGS,TGFBR1
HNF4A,CDX1
HRAS,NRAS
HSP90A,ANAPC5
HSP90A,CDC23
HSP90A,CDC37
HSP90A,COPS3
HSP90A,CSK
HSP90A,HDAC1
HSP90A,HDAC2
HSP90A,HSPA8
HSP90A,NRAS
HSP90A,RELA
HSP90A,SMAD4
HSP90A,STAT1
HSP90A,STAT5A
HSP90A,STAT5B
HSP90A,SUMO2
HSP90B,AP2B1
HSP90B,HSPA8
HSP90B,TBP
HSPA8,APC
HSPA8,CLTC
HSPA8,RAF1
HSPA8,RAN
HSPA8,STAT1
